gene_name	beta	se	p_wald	chr	start	end
TTC13	-0.02986506	0.02794695	0.2857	1	231041989	231114621
ARV1	0.04678613	0.02646968	0.07768888	1	231114727	231136341
FAM89A	0.01181542	0.008315267	0.1558993	1	231154704	231175992
TRIM67	-0.002401526	0.01338602	0.8576849	1	231297858	231357302
C1orf131	-0.005156495	0.0245598	0.8337786	1	231359509	231376933
GNPAT	0.05696052	0.04437851	0.199848	1	231376953	231413719
EXOC8	-0.007348398	0.02396535	0.7592434	1	231468480	231473598
C1orf124	0.02061751	0.02164343	0.3412089	1	231472850	231490769
EGLN1	0.008316519	0.0386685	0.8297902	1	231499497	231560790
TSNAX	0.01027689	0.03498146	0.7690352	1	231664287	231702270
SIPA1L2	0.02722737	0.03042409	0.3712141	1	232533711	232697304
NTPCR	0.01402568	0.02614229	0.5918194	1	233086351	233114548
PCNXL2	0.006277192	0.03541472	0.8593783	1	233119881	233431459
RP5-862P8.2	-0.007169398	0.008969705	0.4244647	1	233463514	233520894
KCNK1	-0.002809701	0.02501896	0.910624	1	233749750	233808258
SLC35F3	0.0363174	0.02446946	0.1383264	1	234040679	234460262
RP5-827C21.4	-0.007785103	0.01136784	0.4937341	1	234508553	234509339
C1orf31	-0.01002849	0.02113847	0.6353881	1	234509202	234519795
TARBP1	-0.02255991	0.02208488	0.307459	1	234527059	234614849
RP5-855F14.1	-0.01110722	0.008124735	0.1721524	1	234663637	234667525
IRF2BP2	-0.03821043	0.03375617	0.2581436	1	234740015	234745271
TOMM20	-0.03852696	0.04820296	0.424479	1	235272651	235292251
RBM34	0.001577767	0.01430721	0.912229	1	235294498	235324772
ARID4B	-0.009790319	0.03692255	0.7909862	1	235294949	235491534
GGPS1	-0.01813907	0.03849262	0.6376584	1	235490665	235507847
TBCE	-0.01182039	0.03320356	0.7219779	1	235530675	235612283
B3GALNT2	-0.005288774	0.02053941	0.7968931	1	235610533	235667781
GNG4	0.02470428	0.01871644	0.1874056	1	235710987	235814054
LYST	-0.04340834	0.03753085	0.2479326	1	235824341	236046940
NID1	0.003734589	0.01169818	0.7496608	1	236139130	236228462
GPR137B	0.03784817	0.01967681	0.05493059	1	236305832	236385165
ERO1LB	-0.009210546	0.02084867	0.6588201	1	236378855	236445319
LGALS8	0.01334522	0.03643447	0.7142959	1	236681300	236716281
HEATR1	-0.03883563	0.0244407	0.1126368	1	236712305	236767804
ACTN2	0.005480968	0.0257717	0.8316595	1	236849754	236927931
MTR	0.03625985	0.03023486	0.2309344	1	236958581	237067281
RYR2	-0.01356612	0.03021522	0.6536195	1	237205505	238129359
CHRM3	0.02906603	0.02949127	0.3247691	1	239549865	240078750
FMN2	0.01120592	0.03973693	0.7780467	1	240177648	240655529
GREM2	0.007500189	0.01209359	0.5353949	1	240652873	240775449
RGS7	0.02067951	0.03124515	0.5083444	1	240931554	241520530
RP11-306K13.1	-0.002699769	0.009321329	0.7722051	1	241468879	241469182
RP11-527D7.1	0.01628235	0.01440237	0.258741	1	241587592	241596792
FH	0.08044098	0.0345617	0.02030014	1	241660903	241683061
OPN3	-0.006711356	0.01188398	0.5724794	1	241753404	241840678
CHML	0.02573257	0.01761793	0.144695	1	241792155	241799232
CEP170	0.02757314	0.04254324	0.5171756	1	243287730	243418708
SDCCAG8	-0.002468428	0.03408047	0.9422863	1	243419320	243663394
RP11-156F12.1	-0.01305266	0.01181661	0.2698112	1	243430559	243431421
AKT3	0.08281501	0.04953356	0.09510931	1	243651535	244014381
FABP7P1	-0.004723555	0.009546015	0.6209237	1	243787968	243788358
AKT3-IT1	0.0098415	0.01150874	0.3928474	1	243956507	243957702
ZNF238	0.001519728	0.03870782	0.968696	1	244214583	244220778
ADSS	-0.03672949	0.03335444	0.2712932	1	244571796	244615436
PPPDE1	-0.02815005	0.02962146	0.342361	1	244816237	244872335
COX20	-0.002512021	0.01633604	0.8778457	1	244998624	245008359
HNRNPU	0.0235042	0.055562	0.6724401	1	245014468	245027844
EFCAB2	-0.001246175	0.01413343	0.9297717	1	245133007	245290466
TFB2M	-0.01999495	0.01629252	0.220251	1	246703862	246729626
CNST	-0.01113763	0.03175392	0.7259106	1	246729746	246831886
SCCPDH	0.01286162	0.03372331	0.7030626	1	246887349	246931439
RP11-439E19.10	-0.005943041	0.01242673	0.6326635	1	246935603	246939074
RP11-439E19.3	0.01061684	0.007944702	0.1819861	1	246939315	246955687
AHCTF1	0.01001415	0.03835674	0.7941285	1	247002400	247095280
ZNF669	-0.03017706	0.01280009	0.01874195	1	247261406	247267674
ZNF124	0.01041863	0.01025601	0.3101413	1	247285277	247335310
RP11-488L18.10	0.01132735	0.01279188	0.3762654	1	247350583	247351828
RP11-488L18.4	0.01110429	0.01523645	0.4664335	1	247353153	247372795
ZNF496	0.003336212	0.02635542	0.8993145	1	247460714	247495148
NLRP3	-0.001832086	0.01254803	0.8839698	1	247579458	247612410
TRIM58	0.02166237	0.00689732	0.0017754	1	248020501	248041507
SH3BP5L	0.06846955	0.03401841	0.04462743	1	249104648	249120832
ZNF672	-0.06845526	0.03216325	0.03374719	1	249132409	249143716
ZNF692	-0.02623205	0.03371828	0.4369146	1	249144205	249153343
PGBD2	0.01825028	0.01584219	0.2498161	1	249200395	249214145
FAM110C	-0.02407713	0.01234751	0.05168509	2	38814	46870
SH3YL1	0.03284281	0.03587956	0.3603995	2	217730	266398
ACP1	-0.03029427	0.04521876	0.5031694	2	264140	278283
TMEM18	-0.003521156	0.02483071	0.8872844	2	667335	677439
PXDN	0.00950541	0.01452839	0.5132128	2	1635659	1748624
MYT1L	0.02817628	0.03720291	0.4491515	2	1792885	2335032
TSSC1	-0.03075702	0.04162293	0.4602538	2	3192696	3381653
TRAPPC12	-0.02605081	0.0410223	0.5256644	2	3383446	3488865
TRAPPC12-AS1	-0.00485637	0.009553813	0.6114331	2	3485013	3486180
ADI1	0.01759205	0.02116576	0.4062434	2	3501693	3523507
RNASEH1	-0.02321296	0.02492244	0.3520484	2	3592383	3606206
AC108488.3	0.004229403	0.008109422	0.6021978	2	3606082	3609324
RPS7	0.07337174	0.03815978	0.05502376	2	3622795	3628509
SOX11	-0.01403494	0.0146884	0.3397355	2	5832799	5841516
AC073479.1	0.04319067	0.02174011	0.04744989	2	6072819	6141407
CMPK2	-0.009427147	0.012167	0.4387807	2	6980701	7006766
RSAD2	-0.009753653	0.01017103	0.3379951	2	7005937	7038370
AC017076.4	-0.02523407	0.0207416	0.2242774	2	7052408	7058813
RNF144A	0.03082796	0.03673009	0.4016569	2	7057523	7208417
ID2	-0.02005287	0.02192452	0.3607826	2	8818975	8824583
RP11-434B12.1	-0.01297423	0.02434956	0.5943633	2	8861264	8862816
KIDINS220	0.09136914	0.04021166	0.02345654	2	8865408	8977760
MBOAT2	0.08925033	0.04085194	0.02932719	2	8992820	9143942
ASAP2	0.01672387	0.0213463	0.4336946	2	9346894	9545812
ITGB1BP1	-0.004196247	0.01354788	0.7568793	2	9543604	9563676
CPSF3	0.05915929	0.03583151	0.0992969	2	9563697	9613230
IAH1	0.002362275	0.03742702	0.9496962	2	9613787	9636672
ADAM17	-0.02198191	0.0257828	0.3942604	2	9628615	9695921
YWHAQ	0.05218926	0.04973415	0.2944678	2	9724101	9771143
TAF1B	0.01647374	0.01990409	0.4082216	2	9983483	10074537
GRHL1	0.03156641	0.01555168	0.04285677	2	10085341	10142411
RP11-254F7.2	0.006793276	0.01296031	0.600377	2	10179219	10180790
KLF11	0.01500155	0.013854	0.2793543	2	10182976	10194963
CYS1	0.002779707	0.01587531	0.861068	2	10196907	10221071
HPCAL1	-0.02084819	0.0190991	0.2754923	2	10443015	10567743
ODC1	0.01452159	0.02180836	0.5057696	2	10580094	10588630
NOL10	-0.03656475	0.02994667	0.2226071	2	10710892	10830101
PDIA6	0.002651754	0.02178047	0.9031418	2	10923517	10978103
KCNF1	0.003923968	0.02419375	0.8712159	2	11052063	11054350
AC062028.1	0.01946864	0.01487319	0.1910855	2	11239977	11272896
C2orf50	-0.004187152	0.01053318	0.691137	2	11273179	11286916
PQLC3	-0.005058761	0.01899729	0.790116	2	11295324	11319000
ROCK2	-0.01972889	0.04510728	0.6620084	2	11319887	11488456
E2F6	-0.0130375	0.02808175	0.6426371	2	11584501	11606297
GREB1	-0.008521099	0.01849142	0.6451131	2	11674242	11782914
NTSR2	-0.01672155	0.01325438	0.2076285	2	11798304	11810290
LPIN1	-0.02606049	0.02180521	0.2325399	2	11817721	11967535
TRIB2	-0.0572475	0.02399844	0.01739253	2	12857015	12882860
FAM84A	0.01543694	0.02407715	0.5216936	2	14772810	14790933
NBAS	-0.006438651	0.0334472	0.8474196	2	15307032	15701454
DDX1	-0.01731899	0.0476988	0.7166756	2	15731302	15771225
MYCN	-0.01424707	0.01356452	0.2940294	2	16080686	16087129
FAM49A	0.03460623	0.04201805	0.4105191	2	16730727	16847599
VSNL1	-0.0145616	0.02698404	0.5896639	2	17720393	17838285
SMC6	0.03630606	0.03152605	0.2499736	2	17845079	17981509
GEN1	0.00285057	0.01263503	0.8215891	2	17935125	17966632
RDH14	-0.0219286	0.02299677	0.3407268	2	18735989	18741946
TTC32	0.01249544	0.01322582	0.345185	2	20096404	20101747
WDR35	0.01451881	0.02750228	0.597771	2	20110021	20189892
MATN3	0.005379952	0.007826861	0.492137	2	20191872	20212455
LAPTM4A	-0.02592024	0.03561863	0.4670949	2	20232411	20251789
PUM2	-0.02878875	0.05533956	0.603118	2	20448452	20551995
RHOB	-0.003490377	0.02235747	0.8759978	2	20646835	20649200
HS1BP3	-0.0160971	0.02768809	0.5612257	2	20760208	20850849
GDF7	0.001557271	0.01176493	0.8947432	2	20866424	20873418
C2orf43	0.01441591	0.01925732	0.4544198	2	20883803	21022882
KLHL29	-0.04997254	0.02512883	0.04723093	2	23608088	23931481
ATAD2B	0.03529046	0.02724699	0.1957888	2	23971534	24149984
UBXN2A	0.06148747	0.03429704	0.07355156	2	24150155	24227779
C2orf44	-0.01998874	0.02094938	0.3404265	2	24252210	24272445
FKBP1B	-0.0001394494	0.02114184	0.9947396	2	24272571	24286551
AC008073.5	0.02218491	0.03414732	0.5161667	2	24290454	24299313
AC008073.6	-0.004324141	0.02387271	0.8563292	2	24299396	24392509
TP53I3	-0.001507111	0.01512194	0.9206473	2	24300303	24308731
ITSN2	0.06278835	0.04137779	0.1297258	2	24425733	24583583
NCOA1	-0.04296033	0.05029487	0.3933804	2	24714783	24993571
PTRHD1	-0.05716723	0.02161967	0.008419966	2	25012855	25016251
CENPO	-0.04622051	0.01922607	0.0165417	2	25016005	25045245
ADCY3	-0.02914357	0.02014197	0.1484885	2	25042038	25142708
DNAJC27	-0.03766409	0.03101405	0.2251048	2	25166505	25194963
DNAJC27-AS1	-0.04655724	0.01849181	0.0120925	2	25194259	25262563
EFR3B	0.03705349	0.03501562	0.290426	2	25264999	25378243
DNMT3A	-0.00833989	0.03773483	0.8251637	2	25455845	25565459
AC012074.2	-0.002777286	0.01303145	0.8313104	2	25592042	25598714
DTNB	-0.005597551	0.03922988	0.8865901	2	25600067	25896503
ASXL2	0.03240392	0.03233929	0.3167818	2	25960557	26101385
KIF3C	-0.02775137	0.04336007	0.5224233	2	26149471	26205618
RAB10	-0.0139337	0.04734898	0.7686568	2	26256976	26360323
FAM59B	-0.02536413	0.01623066	0.1186872	2	26395960	26412513
HADHA	0.00952705	0.04174755	0.8195702	2	26413504	26467594
HADHB	-0.008709265	0.02818378	0.7574249	2	26466038	26513336
EPT1	-0.002112638	0.03324673	0.9493561	2	26531415	26618759
CCDC164	0.009628527	0.01225021	0.4322102	2	26624784	26679579
KCNK3	0.0242761	0.02145716	0.2583866	2	26915558	26956288
C2orf18	-0.005501672	0.04157929	0.8947811	2	26987152	27004099
DPYSL5	0.006199062	0.01167858	0.5957657	2	27070615	27173219
MAPRE3	0.03508293	0.05286829	0.5072281	2	27193480	27250064
AC013472.3	-0.01180914	0.009837982	0.2305116	2	27207644	27237480
TMEM214	0.04846756	0.04551532	0.287402	2	27255778	27264563
AGBL5	0.05874284	0.0379582	0.1222977	2	27265232	27293490
AGBL5-IT1	-0.003370843	0.01742106	0.8466443	2	27283906	27284683
OST4	0.02894213	0.02378897	0.224267	2	27293340	27294641
EMILIN1	-0.01203837	0.01853275	0.5162373	2	27301435	27309271
KHK	0.02629067	0.02268464	0.2469703	2	27309615	27323640
CGREF1	0.04041023	0.02507602	0.1076384	2	27321757	27341995
ABHD1	0.0009865198	0.01392094	0.9435301	2	27346682	27353680
PREB	0.02758856	0.0373471	0.4603977	2	27353624	27357543
SLC5A6	0.00727658	0.01076773	0.4994643	2	27422455	27435826
C2orf28	0.008132385	0.0241451	0.7363854	2	27434895	27440046
CAD	0.04229346	0.03667104	0.2492763	2	27440258	27466660
SLC30A3	0.06019086	0.02300657	0.009132787	2	27476552	27498685
DNAJC5G	0.007875095	0.01263158	0.5332487	2	27498289	27504367
TRIM54	-0.005842282	0.01217541	0.6315288	2	27505260	27600344
UCN	0.01799166	0.0216965	0.4073244	2	27530268	27531313
MPV17	0.04704631	0.04652885	0.3123999	2	27532360	27548547
GTF3C2	0.01361353	0.04007947	0.7342388	2	27548716	27579868
AC074117.10	0.01814303	0.02217962	0.4137063	2	27579113	27590489
EIF2B4	-0.002803768	0.04396635	0.9491758	2	27587219	27593353
SNX17	0.02224365	0.03502656	0.5256575	2	27593389	27599995
ZNF513	0.02830642	0.02862383	0.3231384	2	27600098	27603657
PPM1G	0.02177786	0.05578385	0.6963929	2	27604061	27632554
NRBP1	0.03198495	0.05221014	0.5403793	2	27650657	27665126
KRTCAP3	-0.001925298	0.01476704	0.8963147	2	27665233	27669348
IFT172	-0.002550894	0.04759037	0.9572723	2	27667238	27712656
FNDC4	0.01751412	0.02673612	0.5126924	2	27714750	27718112
ZNF512	-0.02308153	0.03633137	0.5254913	2	27805897	27858041
CCDC121	0.01516294	0.01441361	0.2932639	2	27848506	27851879
GPN1	-0.01025452	0.02676972	0.7018191	2	27851114	27874375
SUPT7L	0.04437501	0.04698741	0.3453758	2	27873679	27886676
SLC4A1AP	0.02066772	0.04058607	0.6107925	2	27886338	27917840
MRPL33	-0.00276552	0.02555162	0.9138503	2	27994584	28210954
RBKS	-0.006928951	0.01376888	0.6150007	2	28004231	28113965
BRE	-0.01377757	0.0319839	0.6668062	2	28112808	28561768
FOSL2	0.02452837	0.01692624	0.1478662	2	28615315	28640179
PPP1CB	-0.03384793	0.03957469	0.3927591	2	28974506	29025806
SPDYA	0.01153278	0.013934	0.4082129	2	29005383	29073477
TRMT61B	-0.02880751	0.01976283	0.1455006	2	29072687	29093167
WDR43	0.02464901	0.03173669	0.4376835	2	29117509	29171088
FAM179A	-0.003068651	0.005016312	0.5409643	2	29179477	29275096
CLIP4	0.07679002	0.0308323	0.0130456	2	29320560	29412509
YPEL5	-0.0632652	0.04913768	0.1984546	2	30369807	30383399
LBH	0.01445555	0.01253881	0.2494629	2	30454397	30546596
LCLAT1	0.02805817	0.02173869	0.1973454	2	30670092	30867091
EHD3	0.00612305	0.03050184	0.8409727	2	31456880	31492313
MEMO1	0.01263107	0.02384527	0.5965254	2	32092878	32236299
DPY30	0.02656253	0.04332366	0.5400497	2	32092878	32264881
SPAST	-0.0352113	0.03841701	0.3597747	2	32288680	32382706
SLC30A6	0.0151208	0.02558865	0.5548162	2	32390933	32449448
NLRC4	-0.02222864	0.01224695	0.07005922	2	32449522	32490923
YIPF4	-0.05103131	0.03645941	0.1621705	2	32502979	32537002
BIRC6	-0.05492777	0.04909919	0.2637485	2	32582096	32843966
RASGRP3	-0.02216809	0.01418985	0.1188002	2	33661391	33789817
FAM98A	0.05247257	0.04262957	0.218884	2	33808725	33824449
RP11-490M8.1	-0.01656437	0.02058431	0.4213332	2	36581892	36582257
CRIM1	-0.007475714	0.02368484	0.7524001	2	36583069	36778278
FEZ2	0.04091101	0.03664263	0.2646978	2	36778570	36873230
STRN	0.03148065	0.03470337	0.3647297	2	37070783	37193615
HEATR5B	0.05967983	0.03978722	0.1341905	2	37195526	37311485
CCDC75	0.06085739	0.03174286	0.05572656	2	37311594	37326387
EIF2AK2	0.01002971	0.02755754	0.7160303	2	37326353	37384208
AC007390.5	0.03405392	0.02248303	0.1304315	2	37423631	37440868
CEBPZ	0.02942995	0.02541156	0.247309	2	37428755	37458856
C2orf56	0.03629655	0.0290278	0.2116789	2	37458774	37480546
PRKD3	-0.001908703	0.02617348	0.9418921	2	37477645	37551951
QPCT	0.01286475	0.0160674	0.4236637	2	37571717	37600465
CDC42EP3	-0.03944942	0.02222863	0.0764945	2	37869032	37965611
FAM82A1	0.01077794	0.01672303	0.5195199	2	38150330	38294285
CYP1B1	0.009088625	0.008598253	0.2909579	2	38294116	38337044
CYP1B1-AS1	0.01342196	0.01040377	0.1975525	2	38302791	38408997
ATL2	-0.02340801	0.0290191	0.4202194	2	38522022	38604427
HNRPLL	-0.0161427	0.03560999	0.6504963	2	38789120	38830728
GALM	0.007777886	0.01205961	0.5192243	2	38893052	38968379
SRSF7	0.002040258	0.03295452	0.9506558	2	38970741	38978636
GEMIN6	-0.01077813	0.02902121	0.7104906	2	38978676	39009598
DHX57	0.01254528	0.03859179	0.7452461	2	39024871	39103075
MORN2	0.02557938	0.02587057	0.3232199	2	39103103	39156213
ARHGEF33	-0.03601849	0.01579514	0.02296578	2	39117021	39202590
SOS1	0.01284205	0.04189737	0.7593299	2	39208537	39351486
MAP4K3	0.0002480577	0.04048427	0.9951134	2	39476407	39664453
AC007246.3	0.07340585	0.02719692	0.007166064	2	39663778	39892483
TMEM178	0.03706552	0.02988345	0.2153761	2	39892122	39945103
THUMPD2	-0.007995958	0.02549687	0.7539388	2	39963200	40006407
SLC8A1	-0.01896439	0.03291057	0.5646871	2	40339286	40838193
PKDCC	0.02284753	0.02381081	0.3377033	2	42275160	42285668
EML4	0.01215099	0.03229539	0.7068786	2	42396490	42559688
COX7A2L	-0.01005594	0.04404339	0.8194826	2	42560686	42596150
MTA3	-0.06682169	0.04854948	0.1692654	2	42721709	42984087
OXER1	0.005788043	0.01105263	0.6007104	2	42989642	42991401
HAAO	0.01975028	0.01324237	0.1364135	2	42994229	43019733
ZFP36L2	-0.003822695	0.01324995	0.7730671	2	43449541	43453748
THADA	0.02150404	0.03234194	0.5063934	2	43393800	43823185
PLEKHH2	-0.00186784	0.0118487	0.8747972	2	43864412	43995126
DYNC2LI1	-0.001578537	0.02451634	0.9486852	2	44001178	44037149
LRPPRC	-0.05670175	0.03978156	0.1546257	2	44113363	44223144
PPM1B	-0.05465651	0.04305852	0.2048477	2	44395108	44471523
SLC3A1	-0.008943562	0.009983943	0.3707515	2	44502599	44548633
PREPL	-0.02484393	0.03867021	0.5208425	2	44543420	44589001
PRKCE	-0.007506647	0.03926744	0.8484646	2	45878484	46415129
EPAS1	0.0521879	0.02021304	0.01008166	2	46520806	46613836
ATP6V1E2	-0.01063901	0.01704311	0.5327265	2	46717889	46769696
RHOQ	-0.03083297	0.03130796	0.3251382	2	46768945	46810260
PIGF	0.01774757	0.0140149	0.2059252	2	46808076	46844258
CRIPT	-0.02571281	0.02195236	0.2419815	2	46843555	46852881
SOCS5	0.005760516	0.03203784	0.8573726	2	46926091	46990268
RP11-333I13.1	-0.003848837	0.01328364	0.7721215	2	47004922	47007384
MCFD2	-0.06079283	0.02605638	0.01999847	2	47129009	47168994
TTC7A	0.005920458	0.03126444	0.8498744	2	47143296	47303276
CALM2	-0.003614853	0.05371054	0.9463652	2	47272677	47403740
BCYRN1	0.01105852	0.01075623	0.30435	2	47558199	47571656
MSH2	0.01187993	0.03228284	0.7130174	2	47630108	47789450
KCNK12	-0.0384003	0.02471549	0.1208287	2	47747910	47798078
MSH6	-0.03889574	0.03514077	0.268837	2	48010221	48034092
FBXO11	0.05499444	0.03341311	0.1003527	2	48016455	48132932
AC079807.2	0.002557164	0.01468678	0.86184	2	48132817	48134949
FOXN2	-0.003088749	0.01842089	0.8668991	2	48541776	48606434
PPP1R21	-0.02910237	0.03510095	0.4074021	2	48667737	48742525
STON1	0.00395867	0.009963869	0.6912975	2	48756522	48826025
NRXN1	-0.03475601	0.04357097	0.4253937	2	50145643	51259674
ERLEC1	0.02036428	0.04252173	0.6321883	2	54014181	54045956
GPR75	0.002190642	0.01367824	0.8728172	2	54080050	54087126
PSME4	-0.01638612	0.02989034	0.5837699	2	54091204	54197977
ACYP2	-0.06935199	0.03792304	0.06797364	2	54342540	54532437
SPTBN1	0.02312936	0.03450132	0.5028882	2	54683422	54896812
AC092839.1	-0.004336845	0.0112314	0.6995443	2	54756480	54756938
EML6	0.01086571	0.02628226	0.6794562	2	54950636	55199157
RTN4	0.06443949	0.05000905	0.1980901	2	55199325	55339757
C2orf63	-0.00864842	0.01804685	0.6319708	2	55401927	55459699
RPS27A	-0.004635248	0.03839172	0.9039442	2	55459039	55462989
MTIF2	0.002476644	0.03194056	0.9382226	2	55463731	55496483
AC012358.8	-0.00902315	0.01657323	0.5863569	2	55535967	55541797
CCDC88A	0.03156792	0.03224103	0.3279468	2	55514978	55647057
CCDC104	-0.04214511	0.04282541	0.3254887	2	55746740	55773015
PNPT1	0.004882093	0.03236274	0.8801447	2	55861400	55921045
EFEMP1	-0.01025667	0.007837269	0.1911772	2	56093102	56151274
FANCL	0.008953677	0.01945838	0.6455926	2	58386378	58468507
BCL11A	-0.003040501	0.02943277	0.9177597	2	60678302	60780702
PAPOLG	0.03756597	0.03462348	0.2784001	2	60983365	61029220
REL	-0.01350063	0.01773309	0.4467874	2	61108656	61150645
NONOP2	-0.01163933	0.01117406	0.2980337	2	61163954	61165184
PUS10	-0.02414817	0.01844263	0.1909527	2	61169104	61245389
PEX13	-0.004609082	0.03263945	0.8877538	2	61244360	61276394
KIAA1841	0.01452458	0.03186052	0.6486546	2	61293006	61391960
AC016747.3	-0.006604527	0.01967982	0.7373003	2	61368732	61372104
AHSA2	0.002282927	0.0115543	0.8434442	2	61404553	61414686
USP34	0.01867317	0.03708677	0.6148133	2	61414591	61697904
XPO1	0.004520215	0.03452118	0.8958701	2	61704984	61765761
FAM161A	-0.01236163	0.02666343	0.6431041	2	62051989	62081278
CCT4	0.0205788	0.03316203	0.535149	2	62095224	62115939
COMMD1	-0.03374272	0.03527713	0.3392349	2	62115859	62374382
B3GNT2	-0.0459751	0.02028547	0.0238114	2	62423248	62451866
TMEM17	-0.004272592	0.01650268	0.7958064	2	62727356	62739029
EHBP1	0.09937019	0.03768634	0.008604831	2	62900986	63273622
OTX1	0.001919783	0.01226608	0.8756869	2	63277192	63284971
MDH1	-0.0278869	0.03575553	0.4357637	2	63815743	63834331
UGP2	0.02337972	0.03829084	0.5417264	2	64068074	64118696
VPS54	-0.05855021	0.03269938	0.07390982	2	64120035	64246567
PELI1	-0.003907169	0.02689431	0.8845437	2	64319786	64371588
AC074289.1	-0.01707147	0.008888391	0.05528903	2	64370373	64479993
LGALSL	0.05807719	0.02827523	0.04044483	2	64681103	64688515
AFTPH	-0.02063873	0.0391196	0.5980019	2	64751465	64820139
SERTAD2	0.02508701	0.02492196	0.3145555	2	64858755	64977449
SLC1A4	-0.02428864	0.02644914	0.3588536	2	65215611	65250999
CEP68	0.01815568	0.0394778	0.6457715	2	65283500	65314138
RAB1A	-0.07365592	0.05450828	0.1771575	2	65297835	65357240
ACTR2	0.01892847	0.0413723	0.6474799	2	65454887	65498387
SPRED2	-0.0765329	0.03172346	0.01616731	2	65537985	65659771
MEIS1	-0.01036858	0.01870906	0.5796648	2	66660584	66799890
ETAA1	0.02328645	0.01999457	0.2446667	2	67624451	67637677
C1D	-0.04708343	0.02606307	0.07137985	2	68268262	68338080
WDR92	-0.004241139	0.02168991	0.8450457	2	68350068	68384692
PNO1	0.006130536	0.02184835	0.7791259	2	68384976	68403370
PPP3R1	0.02933573	0.03451096	0.3956696	2	68358370	68488362
CNRIP1	-0.05605029	0.04490752	0.2125119	2	68511303	68547183
PLEK	-0.008454879	0.01018777	0.4069503	2	68592305	68624585
FBXO48	0.01615815	0.01944485	0.4063467	2	68689486	68694390
ARHGAP25	0.003414268	0.01008848	0.7351656	2	68906733	69053965
ANTXR1	-0.01090048	0.0179189	0.5432225	2	69240310	69476459
GFPT1	-0.02098005	0.0360208	0.5605055	2	69546905	69614382
NFU1	0.0244242	0.03132869	0.4359526	2	69622882	69664760
AAK1	0.03982105	0.05284368	0.4514318	2	69688532	69901481
AC092431.2-001	0.003097469	0.01100317	0.7784267	2	69824485	69826081
ANXA4	0.0003044759	0.02849641	0.9914788	2	69947923	70053596
GMCL1	0.02346415	0.02666425	0.3792488	2	70056774	70108528
SNRNP27	-0.04797847	0.03441852	0.1638847	2	70120692	70132707
MXD1	0.01743253	0.0273967	0.5248434	2	70124820	70170077
ASPRV1	-0.015952	0.01842466	0.3869768	2	70187226	70189397
PCBP1-AS1	-0.05191473	0.02900885	0.07406156	2	70189395	70315686
PCBP1	-0.01153085	0.02483609	0.6426309	2	70314585	70316332
C2orf42	-0.01445706	0.02894187	0.617611	2	70377012	70475747
TIA1	-0.03577291	0.03788407	0.3454417	2	70436576	70475792
PCYOX1	0.01641814	0.04593365	0.7209049	2	70484518	70508323
SNRPG	0.005355443	0.03088129	0.8623844	2	70508494	70520903
FAM136A	-0.006061095	0.03074938	0.8438116	2	70523107	70529222
TGFA	-0.02241869	0.01831895	0.2215487	2	70674412	70781325
ADD2	-0.06789959	0.03893911	0.08175951	2	70834750	70995357
TEX261	-0.0268657	0.03017503	0.3736758	2	71213068	71222075
NAGK	-0.07254943	0.04030885	0.07243001	2	71291474	71306935
MCEE	0.00384498	0.0187545	0.8376346	2	71336814	71357369
MPHOSPH10	0.04472084	0.03770809	0.2361407	2	71357444	71377231
PAIP2B	-0.008683111	0.0135252	0.5211421	2	71409869	71454213
ZNF638	-0.01048926	0.04980406	0.8332687	2	71503691	71662199
DYSF	-0.02301762	0.01891466	0.2241528	2	71680852	71913898
CYP26B1	0.02174267	0.01289207	0.09225969	2	72356367	72375167
EXOC6B	-0.05435479	0.03737543	0.1464317	2	72403113	73053177
SPR	0.01147907	0.02126485	0.5895421	2	73114489	73119287
EMX1	-0.02337894	0.02609736	0.3707297	2	73143176	73162020
SFXN5	-0.01080638	0.02526665	0.6690405	2	73169165	73302747
RAB11FIP5	-0.06871734	0.04051141	0.09040099	2	73300510	73383849
SMYD5	-0.01469237	0.03933033	0.7088721	2	73441350	73454365
PRADC1	0.03163612	0.03123807	0.3116254	2	73455134	73460366
CCT7	0.003384948	0.04548507	0.940704	2	73460548	73480149
FBXO41	-0.0554191	0.0422154	0.1898041	2	73481810	73511559
EGR4	0.0177409	0.007617112	0.02021321	2	73518058	73520833
ALMS1	0.03019047	0.02557327	0.238289	2	73612886	73837920
TPRKB	0.01375089	0.03058087	0.6531339	2	73956231	73964527
DUSP11	-0.02043332	0.02623331	0.4363667	2	73989311	74007284
STAMBP	-0.03141099	0.03641533	0.3887438	2	74056086	74100786
DGUOK	-0.008352107	0.03464529	0.8095863	2	74153953	74186088
TET3	0.0426942	0.0252754	0.0917514	2	74229840	74329698
RP11-287D1.1	-0.006385629	0.007822496	0.4146703	2	74347807	74350345
BOLA3	-0.009160074	0.02296729	0.6901712	2	74362525	74375121
BOLA3-AS1	0.01359836	0.01327956	0.3062789	2	74375136	74377188
MOB1A	-0.009025033	0.03835508	0.8140612	2	74382165	74406025
MTHFD2	-0.004585351	0.011855	0.6990629	2	74425689	74444692
DCTN1	0.002980278	0.0424676	0.9440776	2	74588281	74619214
AC005041.9	-0.003206135	0.01352769	0.8127402	2	74612613	74621009
C2orf81	-0.02031446	0.02255835	0.3682298	2	74641304	74648718
WDR54	-0.005595061	0.02756617	0.8392343	2	74648805	74652882
RTKN	-0.02538312	0.02493531	0.309142	2	74652963	74669549
